from_stop_id,to_stop_id,transfer_type,min_transfer_time
8062343,8062343,2,300
8063365,8063365,2,300
8064617,8064617,2,300
8064618,8064618,2,300
8068634,8068634,2,300
8069220,8069220,2,300
8069221,8069221,2,300
8069224,8069224,2,300
8069228,8069228,2,300
8069229,8069229,2,300
8070406,8070406,2,300
8071992,8071992,2,300
8071993,8071993,2,300
8071996,8071996,2,300
8072023,8072023,2,300
8072025,8072025,2,300
8072031,8072031,2,300
8080100,8080100,2,300
8080251,8080251,2,300
8080295,8080295,2,300
8080296,8080296,2,300
8080297,8080297,2,300
8080306,8080306,2,300
8083840,8083840,2,300
8083846,8083846,2,300
8084736,8084736,2,300
8085022,8085022,2,300
8087021,8087021,2,300
8088493,8088493,2,300
8088494,8088494,2,120
8088502,8088502,2,300
8088503,8088503,2,300
8088504,8088504,2,60
8088575,8088575,2,300
8099982,8099982,2,300
8099985,8099985,2,300
8101003,8101003,2,300
8101114,8101114,2,300
8101134,8101134,2,300
8101137,8101137,2,300
8101170,8101170,2,300
8101187,8101187,2,300
8101204,8101204,2,300
8101212,8101212,2,300
8101222,8101222,2,300
8101230,8101230,2,300
8101231,8101231,2,300
8101232,8101232,2,300
8101233,8101233,2,300
8101234,8101234,2,300
8101235,8101235,2,300
8101236,8101236,2,300
8101237,8101237,2,300
8101238,8101238,2,300
8101239,8101239,2,300
8101240,8101240,2,300
8101242,8101242,2,300
8101243,8101243,2,300
8102184,8102184,2,300
8102335,8102335,2,240
8102336,8102336,2,300
8102338,8102338,2,300
8102339,8102339,2,120
8102351,8102351,2,300
8102352,8102352,2,300
8105481,8105481,2,300
8301003,8301003,2,300
8301030,8301030,2,360
8301031,8301031,2,300
8301039,8301039,2,300
8301113,8301113,2,180
8301116,8301116,2,600
8301117,8301117,2,600
8301118,8301118,2,300
8301140,8301140,2,600
8301141,8301141,2,600
8301142,8301142,2,600
8301143,8301143,2,600
8301144,8301144,2,600
8301145,8301145,2,600
8301203,8301203,2,600
8301204,8301204,2,600
8301205,8301205,2,300
8301206,8301206,2,300
8301307,8301307,2,300
8301312,8301312,2,600
8301313,8301313,2,600
8301315,8301315,2,300
8301316,8301316,2,300
8301318,8301318,2,300
8301320,8301320,2,600
8301321,8301321,2,600
8301322,8301322,2,300
8301325,8301325,2,600
8301326,8301326,2,600
8301645,8301645,2,600
8301700,8301700,2,900
8301717,8301717,2,600
8302088,8302088,2,600
8302430,8302430,2,600
8302446,8302446,2,600
8302581,8302581,2,600
8302589,8302589,2,600
8302593,8302593,2,600
8305043,8305043,2,900
8319371,8319371,2,600
8320005,8320005,2,600
8325432,8325432,2,300
8325631,8325631,2,300
8325635,8325635,2,300
8400058,8400058,2,300
8500010,8500010,2,300
8500016,8500016,2,120
8500020,8500020,2,180
8500021,8500021,2,180
8500022,8500022,2,120
8500023,8500023,2,180
8500024,8500024,2,120
8500025,8500025,2,120
8500026,8500026,2,180
8500027,8500027,2,120
8500028,8500028,2,120
8500031,8500031,2,120
8500032,8500032,2,120
8500033,8500033,2,120
8500034,8500034,2,120
8500035,8500035,2,120
8500037,8500037,2,120
8500038,8500038,2,120
8500090,8500090,2,240
8500100,8500100,2,120
8500101,8500101,2,120
8500102,8500102,2,120
8500103,8500103,2,120
8500104,8500104,2,120
8500105,8500105,2,180
8500109,8500109,2,180
8500113,8500113,2,180
8500114,8500114,2,120
8500115,8500115,2,120
8500116,8500116,2,120
8500117,8500117,2,120
8500118,8500118,2,120
8500119,8500119,2,120
8500120,8500120,2,120
8500121,8500121,2,120
8500122,8500122,2,120
8500123,8500123,2,120
8500124,8500124,2,120
8500125,8500125,2,120
8500126,8500126,2,180
8500127,8500127,2,120
8500128,8500128,2,120
8500135,8500135,2,120
8500136,8500136,2,120
8500141,8500141,2,120
8500144,8500144,2,120
8500159,8500159,2,120
8500162,8500162,2,120
8500164,8500164,2,120
8500165,8500165,2,120
8500167,8500167,2,120
8500169,8500169,2,120
8500170,8500170,2,120
8500171,8500171,2,0
8500172,8500172,2,120
8500173,8500173,2,120
8500174,8500174,2,60
8500175,8500175,2,120
8500176,8500176,2,120
8500177,8500177,2,120
8500178,8500178,2,120
8500179,8500179,2,60
8500180,8500180,2,120
8500181,8500181,2,120
8500184,8500184,2,120
8500186,8500186,2,120
8500187,8500187,2,120
8500188,8500188,2,120
8500190,8500190,2,120
8500191,8500191,2,120
8500192,8500192,2,120
8500194,8500194,2,120
8500195,8500195,2,120
8500196,8500196,2,120
8500199,8500199,2,120
8500200,8500200,2,120
8500201,8500201,2,120
8500202,8500202,2,180
8500203,8500203,2,120
8500204,8500204,2,120
8500205,8500205,2,120
8500206,8500206,2,120
8500207,8500207,2,240
8500208,8500208,2,120
8500209,8500209,2,120
8500210,8500210,2,120
8500211,8500211,2,180
8500212,8500212,2,180
8500213,8500213,2,120
8500214,8500214,2,120
8500215,8500215,2,120
8500216,8500216,2,120
8500217,8500217,2,120
8500218,8500218,2,300
8500220,8500220,2,120
8500221,8500221,2,120
8500261,8500261,2,120
8500262,8500262,2,120
8500263,8500263,2,120
8500264,8500264,2,120
8500272,8500272,2,120
8500273,8500273,2,120
8500274,8500274,2,120
8500275,8500275,2,120
8500280,8500280,2,120
8500283,8500283,2,120
8500285,8500285,2,120
8500286,8500286,2,120
8500287,8500287,2,120
8500288,8500288,2,120
8500289,8500289,2,120
8500292,8500292,2,120
8500293,8500293,2,120
8500294,8500294,2,120
8500300,8500300,2,120
8500301,8500301,2,180
8500302,8500302,2,120
8500303,8500303,2,120
8500304,8500304,2,120
8500305,8500305,2,180
8500309,8500309,2,180
8500313,8500313,2,120
8500320,8500320,2,120
8500322,8500322,2,120
8500329,8500329,2,180
8501000,8501000,2,120
8501001,8501001,2,120
8501002,8501002,2,120
8501003,8501003,2,120
8501006,8501006,2,120
8501007,8501007,2,120
8501008,8501008,2,240
8501011,8501011,2,120
8501012,8501012,2,120
8501013,8501013,2,120
8501014,8501014,2,120
8501015,8501015,2,120
8501020,8501020,2,120
8501021,8501021,2,120
8501022,8501022,2,120
8501023,8501023,2,180
8501026,8501026,2,120
8501030,8501030,2,180
8501031,8501031,2,120
8501033,8501033,2,120
8501035,8501035,2,120
8501036,8501036,2,120
8501037,8501037,2,180
8501042,8501042,2,120
8501045,8501045,2,120
8501047,8501047,2,120
8501048,8501048,2,120
8501053,8501053,2,120
8501054,8501054,2,120
8501055,8501055,2,120
8501056,8501056,2,120
8501057,8501057,2,120
8501058,8501058,2,120
8501059,8501059,2,120
8501060,8501060,2,120
8501061,8501061,2,120
8501062,8501062,2,60
8501063,8501063,2,120
8501064,8501064,2,120
8501065,8501065,2,120
8501066,8501066,2,120
8501067,8501067,2,120
8501068,8501068,2,0
8501069,8501069,2,120
8501080,8501080,2,120
8501081,8501081,2,120
8501082,8501082,2,120
8501083,8501083,2,120
8501084,8501084,2,120
8501085,8501085,2,120
8501087,8501087,2,120
8501088,8501088,2,120
8501089,8501089,2,120
8501090,8501090,2,120
8501091,8501091,2,120
8501092,8501092,2,120
8501093,8501093,2,120
8501094,8501094,2,60
8501095,8501095,2,120
8501096,8501096,2,120
8501097,8501097,2,120
8501098,8501098,2,120
8501099,8501099,2,120
8501100,8501100,2,120
8501103,8501103,2,180
8501104,8501104,2,120
8501105,8501105,2,120
8501106,8501106,2,120
8501107,8501107,2,120
8501108,8501108,2,120
8501110,8501110,2,120
8501111,8501111,2,120
8501112,8501112,2,120
8501113,8501113,2,120
8501114,8501114,2,120
8501115,8501115,2,120
8501116,8501116,2,120
8501117,8501117,2,120
8501118,8501118,2,240
8501120,8501120,2,300
8501121,8501121,2,120
8501122,8501122,2,120
8501123,8501123,2,120
8501124,8501124,2,120
8501125,8501125,2,120
8501126,8501126,2,120
8501127,8501127,2,120
8501151,8501151,2,120
8501152,8501152,2,120
8501153,8501153,2,120
8501154,8501154,2,120
8501155,8501155,2,120
8501156,8501156,2,120
8501157,8501157,2,120
8501159,8501159,2,120
8501160,8501160,2,120
8501162,8501162,2,120
8501163,8501163,2,120
8501164,8501164,2,120
8501165,8501165,2,120
8501166,8501166,2,120
8501168,8501168,2,120
8501169,8501169,2,120
8501170,8501170,2,120
8501171,8501171,2,120
8501172,8501172,2,120
8501173,8501173,2,120
8501174,8501174,2,120
8501175,8501175,2,120
8501176,8501176,2,120
8501177,8501177,2,120
8501178,8501178,2,120
8501179,8501179,2,120
8501181,8501181,2,120
8501191,8501191,2,120
8501194,8501194,2,120
8501198,8501198,2,120
8501199,8501199,2,120
8501200,8501200,2,180
8501201,8501201,2,120
8501202,8501202,2,120
8501203,8501203,2,120
8501207,8501207,2,120
8501208,8501208,2,120
8501209,8501209,2,120
8501210,8501210,2,120
8501211,8501211,2,120
8501212,8501212,2,120
8501213,8501213,2,120
8501214,8501214,2,120
8501215,8501215,2,120
8501216,8501216,2,120
8501217,8501217,2,120
8501218,8501218,2,120
8501229,8501229,2,120
8501230,8501230,2,60
8501262,8501262,2,120
8501263,8501263,2,120
8501264,8501264,2,120
8501265,8501265,2,120
8501266,8501266,2,120
8501280,8501280,2,120
8501281,8501281,2,120
8501282,8501282,2,120
8501283,8501283,2,120
8501284,8501284,2,120
8501285,8501285,2,120
8501286,8501286,2,120
8501287,8501287,2,120
8501288,8501288,2,120
